Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Orthotists and prosthetists,29-2091,Individual Jobs,7.8,9.5,0.0,0.0,1.7,22.2,0.7,4.0,Master's degree,65630.0,None,Internship/residency
Hearing aid specialists,29-2092,Individual Jobs,6.8,8.2,0.0,0.0,1.3,19.5,0.6,4.0,High school diploma or equivalent,50250.0,None,Moderate-term on-the-job training
"Health technologists and technicians, all other",29-2099,Individual Jobs,127.8,152.9,0.1,0.1,25.1,19.7,11.0,4.0,Postsecondary nondegree award,41070.0,None,None
Other healthcare practitioners and technical occupations,29-9000,Job Categories,172.6,193.5,0.1,0.1,20.9,12.1,11.2,2.0,—,59260.0,—,—
Occupational health and safety specialists and technicians,29-9010,Job Categories,101.8,110.4,0.1,0.1,8.6,8.5,6.1,3.0,—,66820.0,—,—
Occupational health and safety specialists,29-9011,Individual Jobs,83.7,90.5,0.1,0.1,6.8,8.1,5.0,4.0,Bachelor's degree,70920.0,None,None
Occupational health and safety technicians,29-9012,Individual Jobs,18.1,19.9,0.0,0.0,1.8,10.1,1.1,4.0,High school diploma or equivalent,48820.0,None,Moderate-term on-the-job training
Miscellaneous health practitioners and technical workers,29-9090,Job Categories,70.8,83.1,0.0,0.0,12.2,17.3,5.0,3.0,—,47790.0,—,—
Athletic trainers,29-9091,Individual Jobs,27.8,34.1,0.0,0.0,6.3,22.8,2.2,4.0,Bachelor's degree,45630.0,None,None
Genetic counselors,29-9092,Individual Jobs,3.1,4.0,0.0,0.0,0.9,29.0,0.3,4.0,Master's degree,74120.0,None,None
"Healthcare practitioners and technical workers, all other",29-9099,Individual Jobs,40.0,45.0,0.0,0.0,5.0,12.6,2.6,4.0,Postsecondary nondegree award,48820.0,None,None
Healthcare support occupations,31-0000,Job Categories,4315.6,5335.2,2.8,3.2,1019.6,23.6,638.4,1.0,—,27910.0,—,—
"Nursing, psychiatric, and home health aides",31-1000,Job Categories,2549.4,3162.4,1.6,1.9,613.0,24.0,379.1,2.0,—,24810.0,—,—
Home health aides,31-1011,Individual Jobs,911.5,1342.7,0.6,0.8,431.2,47.3,168.6,3.0,High school diploma or equivalent,22600.0,None,Short-term on-the-job training
Psychiatric aides,31-1013,Individual Jobs,73.6,77.7,0.0,0.0,4.1,5.5,8.8,3.0,High school diploma or equivalent,26720.0,None,Short-term on-the-job training
Nursing assistants,31-1014,Individual Jobs,1510.3,1683.7,1.0,1.0,173.4,11.5,195.1,3.0,Postsecondary nondegree award,26590.0,None,None
Orderlies,31-1015,Individual Jobs,54.0,58.4,0.0,0.0,4.4,8.1,6.7,3.0,High school diploma or equivalent,26690.0,None,Short-term on-the-job training
Occupational therapy and physical therapist assistants and aides,31-2000,Job Categories,187.1,243.0,0.1,0.1,55.9,29.9,31.1,2.0,—,48970.0,—,—
Occupational therapy assistants and aides,31-2010,Job Categories,46.8,60.0,0.0,0.0,13.2,28.3,7.8,3.0,—,56070.0,—,—
Occupational therapy assistants,31-2011,Individual Jobs,39.3,50.7,0.0,0.0,11.4,28.9,6.6,4.0,Associate's degree,59010.0,None,None
Occupational therapy aides,31-2012,Individual Jobs,7.5,9.3,0.0,0.0,1.8,24.7,1.2,4.0,High school diploma or equivalent,28330.0,None,Short-term on-the-job training
Physical therapist assistants and aides,31-2020,Job Categories,140.3,183.0,0.1,0.1,42.7,30.4,23.3,3.0,—,45290.0,—,—
Physical therapist assistants,31-2021,Individual Jobs,88.3,115.8,0.1,0.1,27.4,31.0,14.7,4.0,Associate's degree,56610.0,None,None
Physical therapist aides,31-2022,Individual Jobs,52.0,67.2,0.0,0.0,15.3,29.4,8.5,4.0,High school diploma or equivalent,25680.0,None,Short-term on-the-job training
Other healthcare support occupations,31-9000,Job Categories,1579.1,1929.8,1.0,1.2,350.7,22.2,228.2,2.0,—,33170.0,—,—
Massage therapists,31-9011,Individual Jobs,160.3,202.4,0.1,0.1,42.1,26.3,22.6,3.0,Postsecondary nondegree award,39860.0,None,None
Miscellaneous healthcare support occupations,31-9090,Job Categories,1418.8,1727.4,0.9,1.0,308.6,21.7,205.6,3.0,—,32880.0,—,—
Dental assistants,31-9091,Individual Jobs,332.0,396.6,0.2,0.2,64.6,19.5,45.9,4.0,Postsecondary nondegree award,36940.0,None,None
Medical assistants,31-9092,Individual Jobs,634.4,818.4,0.4,0.5,183.9,29.0,94.9,4.0,Postsecondary nondegree award,31540.0,None,None
Medical equipment preparers,31-9093,Individual Jobs,54.2,60.2,0.0,0.0,6.0,11.1,7.6,4.0,High school diploma or equivalent,34400.0,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,Individual Jobs,57.4,55.5,0.0,0.0,-1.9,-3.4,6.4,4.0,Postsecondary nondegree award,35720.0,None,None
Pharmacy aides,31-9095,Individual Jobs,36.9,35.2,0.0,0.0,-1.8,-4.8,4.7,4.0,High school diploma or equivalent,25240.0,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,Individual Jobs,83.8,100.0,0.1,0.1,16.3,19.4,15.5,4.0,High school diploma or equivalent,25250.0,None,Short-term on-the-job training
Phlebotomists,31-9097,Individual Jobs,122.7,152.8,0.1,0.1,30.1,24.5,16.9,4.0,Postsecondary nondegree award,32710.0,None,None
"Healthcare support workers, all other",31-9099,Individual Jobs,97.3,108.7,0.1,0.1,11.4,11.7,13.7,4.0,High school diploma or equivalent,36330.0,None,None
Protective service occupations,33-0000,Job Categories,3505.6,3663.8,2.2,2.2,158.2,4.5,397.2,1.0,—,38660.0,—,—
